Name,Address,Latitude,Longitude,Income,Density,Trafic
Marché d'à Côté,"11 Avenue des 4 Chemins, Sceaux",48.77841799999999,2.279863,21.82,27.2625,25.0805
Access - TotalEnergies,"N118, Bièvres",48.7463508,2.196705,21.82,27.2625,25.0805
Jouiny,"78 Avenue de la Division Leclerc, Antony",48.74832019999999,2.3036846,19.59,23.92304964539007,21.96404964539007
Charlie's Market Antony,"14 Rue Auguste Mounié, Antony",48.7538539,2.3039992,19.59,23.92304964539007,21.96404964539007
La Vie Claire,"25 Avenue de la Division Leclerc, Antony",48.752015,2.304732699999999,19.59,23.92304964539007,21.96404964539007
Robinson Superette,"2 Square Robinson, Sceaux",48.7793808,2.2831091,21.82,27.2625,25.0805
Franprix,"Avenue Aristide Briand 117, Antony",48.7616886,2.3079005,19.59,23.92304964539007,21.96404964539007
Supérette | Chez Poly,"130 Avenue Aristide Briand, Antony",48.7613807,2.3083688,19.59,23.92304964539007,21.96404964539007
Total Petrol Station Access,"1 Avenue Claude Trebignaud, Clamart",48.79220919999999,2.2522215,21.82,27.2625,25.0805
Petit Casino,"Parc de Diane, Jouy-en-Josas",48.7543006,2.1871312,31.49,20.87458912768648,17.725589127686476
Franprix,"1-3 Avenue Morane Saulnier, Vélizy-Villacoublay",48.7799557,2.2050305,31.49,20.87458912768648,17.725589127686476
Access - TotalEnergies,"6 Avenue Claude Trebignaud, Clamart",48.7923419,2.2527435,21.82,27.2625,25.0805
Sitis Market Meudon,"22 Rue de la Roseraie, Meudon",48.7897451,2.2236488,31.49,20.87458912768648,17.725589127686476
Monoprix,"8 Rue René Roeckel, Bourg-la-Reine",48.7799176,2.314128,19.59,23.92304964539007,21.96404964539007
Coccimarket,"3 Chemin de Paray, Rungis",48.74598839999999,2.3472211,17.09,25.036783216783217,23.327783216783217
Cocci Market,"51 Avenue du Parc des Sports, Fresnes",48.75000199999999,2.3235239,19.59,23.92304964539007,21.96404964539007
Franprix - Fresnes,"7 Place de l'Église, Fresnes",48.75469340000001,2.323072,19.59,23.92304964539007,21.96404964539007
Franprix,"6 Rue du Docteur Charcot, Fresnes",48.7623004,2.3276854,19.59,23.92304964539007,21.96404964539007
Franprix,"6 Rue Dispan, L'Haÿ-les-Roses",48.77925379999999,2.339128,17.09,25.036783216783217,23.327783216783217
TotalEnergies - Rungis Delta,"Rue du Pont des Halles, A106 - Aire Rungis Delta Pondorly, Rungis",48.75820989999999,2.3473988,17.09,25.036783216783217,23.327783216783217
TotalEnergies,"14 Avenue du Général de Gaulle, Chevilly-Larue",48.7729182,2.3380636,17.09,25.036783216783217,23.327783216783217
Franprix,"2 Place de la Fontaine Gueffier, Bagneux",48.7878736,2.3047792,19.59,23.92304964539007,21.96404964539007
Franprix,"11-13 Avenue du Général Leclerc, Bourg-la-Reine",48.7866907,2.3185032,19.59,23.92304964539007,21.96404964539007
TotalEnergies,"Boulevard Circulaire E Fruileg 103 - Cp50 757, Rungis",48.7647596,2.3564395,17.09,25.036783216783217,23.327783216783217
SUPERMARCHÉ G20,"28 Rue Marc Sangnier, Cachan",48.7862302,2.3323685,19.59,23.92304964539007,21.96404964539007
Ky Bvt,"31 Rue Henri Barbusse, Fresnes",48.7581503,2.3228,19.59,23.92304964539007,21.96404964539007
Franprix,"2 Rue Marc Sangnier, L'Haÿ-les-Roses",48.7664976,2.3204061,19.59,23.92304964539007,21.96404964539007
S.M City Market,"18 Rue du Docteur Charcot, Fresnes",48.76262999999999,2.3282547,19.59,23.92304964539007,21.96404964539007
Supérette M.H,"155 Avenue du Général Leclerc, Bourg-la-Reine",48.7752129,2.313925,19.59,23.92304964539007,21.96404964539007
cocciMarket,"113 Avenue du Général Leclerc, Bourg-la-Reine",48.7783959,2.3151492,19.59,23.92304964539007,21.96404964539007
Rapid' Market,"Avenue du Bout de la ville, Rungis",48.74596469999999,2.3472722,17.09,25.036783216783217,23.327783216783217
La Vie Claire,"77 Avenue du Général Leclerc, Bourg-la-Reine",48.7811542,2.3164917,19.59,23.92304964539007,21.96404964539007
SUPERMARCHÉ G20,"1-3 Allée Costes et Bellonte, Chevilly-Larue",48.7704828,2.3408298,17.09,25.036783216783217,23.327783216783217
Proxi Sceaux Thures,"67 Avenue de Bourg la Reine, Sceaux",48.78491280000001,2.3054417,19.59,23.92304964539007,21.96404964539007
Franprix,"1 Rue Traversière, Rungis",48.7462545,2.3529713,17.09,25.036783216783217,23.327783216783217
Thures Alimentation Générale,"67 Avenue de Bourg la Reine, Sceaux",48.7849385,2.3056112,19.59,23.92304964539007,21.96404964539007
Total Petrol Station Access,"Avenue Charles Lindbergh, Rungis",48.7489891,2.3560086,17.09,25.036783216783217,23.327783216783217
MONOPRIX,"34 Rue Jean Jaurès, Villejuif",48.7935962,2.3662012,17.09,25.036783216783217,23.327783216783217
